# PIMCID: c98674cb-9818-4827-8ba2-1a996bca1df0
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  5.45299627E+02 -6.48414281E+02 -1.03114655E+02  7.24967904E+01  2.07598985E+01 -2.66984643E+01 -5.93856580E+00  2.43904785E+01  5.98404833E+02  2.53509565E-02
  5.57930696E+02 -6.71905636E+02 -1.13974940E+02  6.62264612E+01  2.09778948E+01 -2.69410427E+01 -5.96314791E+00  2.50279724E+01  6.29579217E+02  2.60135544E-02
  4.13405040E+02 -6.41258607E+02 -2.27853567E+02 -5.54779878E+01  1.55739491E+01 -2.69024728E+01 -1.13285237E+01  2.39410526E+01  5.76979904E+02  2.48838326E-02
  4.91973468E+02 -6.69560153E+02 -1.77586685E+02 -6.13845855E-01  1.85594651E+01 -2.73531327E+01 -8.79366766E+00  2.45795610E+01  6.07387171E+02  2.55474849E-02
  5.20663787E+02 -6.63024222E+02 -1.42360436E+02  3.47130156E+01  1.96277802E+01 -2.70616795E+01 -7.43389934E+00  2.45935349E+01  6.08763302E+02  2.55620091E-02
  4.46875406E+02 -6.38485264E+02 -1.91609858E+02 -1.92169354E+01  1.69089843E+01 -2.67903584E+01 -9.88137414E+00  2.39434615E+01  5.77210000E+02  2.48863364E-02
  4.79385505E+02 -6.37001470E+02 -1.57615965E+02  1.47967732E+01  1.84874627E+01 -2.67124507E+01 -8.22498797E+00  2.39462136E+01  5.76580971E+02  2.48891968E-02
  4.02257925E+02 -6.48325975E+02 -2.46068050E+02 -7.27317021E+01  1.48599254E+01 -2.70478632E+01 -1.21879378E+01  2.40744928E+01  5.84040290E+02  2.50225275E-02
  5.44277208E+02 -6.83775240E+02 -1.39498032E+02  4.20301935E+01  2.02799604E+01 -2.72063803E+01 -6.92641989E+00  2.52122535E+01  6.39416009E+02  2.62050924E-02
  4.39796250E+02 -6.38138379E+02 -1.98342129E+02 -2.63464215E+01  1.66427160E+01 -2.68369647E+01 -1.01942487E+01  2.38882927E+01  5.74578146E+02  2.48289950E-02
  4.20965414E+02 -6.43061980E+02 -2.22096567E+02 -4.90485285E+01  1.59094604E+01 -2.68593498E+01 -1.09498894E+01  2.40344498E+01  5.81582775E+02  2.49809077E-02
  5.44912464E+02 -6.65184666E+02 -1.20272202E+02  5.79284772E+01  2.06048968E+01 -2.69725400E+01 -6.36764317E+00  2.47500943E+01  6.15957642E+02  2.57247338E-02
