#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  5.60000000E+01  2.70051541E-01  6.39100314E-03
  5.65000000E+01  3.74998222E-01  6.95118334E-03
  5.70000000E+01  3.91307432E-01  6.33173747E-03
  5.75000000E+01  3.01653276E-01  6.48054493E-03
  5.80000000E+01  1.89659074E-01  5.94189821E-03
  5.85000000E+01  1.30466371E-01  4.60518289E-03
  5.90000000E+01  1.38988573E-01  4.67732083E-03
  5.95000000E+01  2.07840555E-01  6.48707108E-03
  6.00000000E+01  3.04959291E-01  8.53051884E-03
  6.05000000E+01  3.61587656E-01  8.14036523E-03
  6.10000000E+01  3.22766944E-01  7.27267140E-03
  6.15000000E+01  2.32661201E-01  7.62113097E-03
  6.20000000E+01  1.68227438E-01  6.39467708E-03
  6.25000000E+01  1.56490516E-01  5.70448836E-03
  6.30000000E+01  2.00202070E-01  6.70368072E-03
  6.35000000E+01  2.81914682E-01  9.51689453E-03
  6.40000000E+01  3.37434594E-01  9.13858848E-03
  6.45000000E+01  3.14265202E-01  7.64265894E-03
  6.50000000E+01  2.45403516E-01  7.78625399E-03
  6.55000000E+01  1.92094747E-01  7.47630417E-03
  6.60000000E+01  1.78708756E-01  6.25944553E-03
  6.65000000E+01  2.11405954E-01  6.39338611E-03
  6.70000000E+01  2.76831101E-01  9.43032946E-03
  6.75000000E+01  3.18842793E-01  9.07706710E-03
  6.80000000E+01  2.97165766E-01  7.84935904E-03
  6.85000000E+01  2.42202751E-01  7.37640500E-03
  6.90000000E+01  2.00349633E-01  7.34952121E-03
  6.95000000E+01  1.92930560E-01  6.51497905E-03
  7.00000000E+01  2.24681643E-01  7.07720591E-03
  7.05000000E+01  2.77193448E-01  9.26310527E-03
  7.10000000E+01  3.06308799E-01  8.82324349E-03
  7.15000000E+01  2.83954760E-01  7.93122693E-03
  7.20000000E+01  2.36697427E-01  7.83185181E-03
  7.25000000E+01  2.06333650E-01  7.72585297E-03
  7.30000000E+01  2.04155068E-01  7.21236753E-03
  7.35000000E+01  2.31441177E-01  7.52967794E-03
  7.40000000E+01  2.74872701E-01  8.79091370E-03
  7.45000000E+01  2.95697613E-01  8.44109935E-03
  7.50000000E+01  2.71470528E-01  7.52031154E-03
  7.55000000E+01  2.30769202E-01  7.31661505E-03
  7.60000000E+01  2.09802593E-01  7.61468085E-03
  7.65000000E+01  2.14832302E-01  7.22802848E-03
  7.70000000E+01  2.40294970E-01  7.80667525E-03
  7.75000000E+01  2.74003736E-01  8.24139161E-03
  7.80000000E+01  2.89376117E-01  8.99638523E-03
  7.85000000E+01  2.68574003E-01  7.70971063E-03
  7.90000000E+01  2.33217382E-01  7.49949558E-03
  7.95000000E+01  2.11064063E-01  7.73128493E-03
  8.00000000E+01  2.14358102E-01  7.88431977E-03
  8.05000000E+01  2.42189035E-01  8.16516213E-03
  8.10000000E+01  2.78802973E-01  8.31872702E-03
  8.15000000E+01  2.86229869E-01  8.47077832E-03
  8.20000000E+01  2.61006895E-01  8.03428178E-03
  8.25000000E+01  2.30290747E-01  7.68742839E-03
  8.30000000E+01  2.13036200E-01  7.67137661E-03
  8.35000000E+01  2.16304358E-01  7.79784832E-03
  8.40000000E+01  2.43746244E-01  8.65988577E-03
  8.45000000E+01  2.74488101E-01  8.60476241E-03
  8.50000000E+01  2.81581731E-01  8.40494619E-03
  8.55000000E+01  2.62905443E-01  8.27006873E-03
  8.60000000E+01  2.37617223E-01  8.07623944E-03
  8.65000000E+01  2.18997974E-01  7.58924522E-03
  8.70000000E+01  2.17578574E-01  7.64171939E-03
  8.75000000E+01  2.37344394E-01  8.87588006E-03
  8.80000000E+01  2.64808507E-01  9.08021436E-03
  8.85000000E+01  2.77162307E-01  8.01647362E-03
  8.90000000E+01  2.66262262E-01  8.71275693E-03
  8.95000000E+01  2.43174895E-01  8.75191228E-03
  9.00000000E+01  2.22083275E-01  7.95768919E-03
  9.05000000E+01  2.17216526E-01  7.43539725E-03
  9.10000000E+01  2.35109874E-01  8.88090328E-03
  9.15000000E+01  2.61172631E-01  9.87656157E-03
  9.20000000E+01  2.72700115E-01  8.78999979E-03
  9.25000000E+01  2.66196138E-01  9.18647119E-03
  9.30000000E+01  2.46236781E-01  9.88969309E-03
  9.35000000E+01  2.25608893E-01  9.04033890E-03
  9.40000000E+01  2.20513043E-01  8.24623828E-03
  9.45000000E+01  2.37565574E-01  9.14323194E-03
  9.50000000E+01  2.60373010E-01  1.06348767E-02
  9.55000000E+01  2.71783171E-01  9.08753847E-03
  9.60000000E+01  2.68659291E-01  8.98553938E-03
  9.65000000E+01  2.52230985E-01  9.92518987E-03
  9.70000000E+01  2.33403106E-01  9.34470529E-03
  9.75000000E+01  2.27639131E-01  8.20455448E-03
  9.80000000E+01  2.37931243E-01  8.75318010E-03
  9.85000000E+01  2.51781220E-01  1.03944810E-02
  9.90000000E+01  2.61378110E-01  9.58666179E-03
  9.95000000E+01  2.62168976E-01  9.21879998E-03
