#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  0.00000000E+00  2.40280806E-01  5.19646203E-03
  5.00000000E-01  2.37777194E-01  5.56704191E-03
  1.00000000E+00  2.40811490E-01  5.72875411E-03
  1.50000000E+00  2.46437217E-01  5.37172187E-03
  2.00000000E+00  2.52673311E-01  5.59330653E-03
  2.50000000E+00  2.54684242E-01  5.70476296E-03
  3.00000000E+00  2.48411082E-01  5.57800600E-03
  3.50000000E+00  2.39889063E-01  5.14957828E-03
  4.00000000E+00  2.37371779E-01  5.57685861E-03
  4.50000000E+00  2.41404405E-01  5.87652292E-03
  5.00000000E+00  2.47259383E-01  5.26217427E-03
  5.50000000E+00  2.52715260E-01  5.36855689E-03
  6.00000000E+00  2.52904042E-01  5.57918454E-03
  6.50000000E+00  2.46715371E-01  5.70357420E-03
  7.00000000E+00  2.38498503E-01  5.23201243E-03
  7.50000000E+00  2.36964160E-01  5.27615727E-03
  8.00000000E+00  2.39709118E-01  5.60784235E-03
  8.50000000E+00  2.47458048E-01  5.15815062E-03
  9.00000000E+00  2.54968695E-01  5.30835038E-03
  9.50000000E+00  2.55515087E-01  5.61400848E-03
  1.00000000E+01  2.47980776E-01  5.35468906E-03
  1.05000000E+01  2.40547244E-01  5.19928811E-03
  1.10000000E+01  2.36108386E-01  5.37640041E-03
  1.15000000E+01  2.33867961E-01  6.44214016E-03
  1.20000000E+01  2.37608837E-01  5.63057255E-03
  1.25000000E+01  2.45836668E-01  5.57459477E-03
  1.30000000E+01  2.51760940E-01  6.32980522E-03
  1.35000000E+01  2.52173788E-01  5.86924857E-03
  1.40000000E+01  2.50028413E-01  5.41295444E-03
  1.45000000E+01  2.43950504E-01  5.90100396E-03
  1.50000000E+01  2.36816587E-01  6.54939588E-03
  1.55000000E+01  2.35008736E-01  6.24864681E-03
  1.60000000E+01  2.39615567E-01  5.63846245E-03
  1.65000000E+01  2.45075200E-01  5.94045582E-03
  1.70000000E+01  2.50206289E-01  6.31485500E-03
  1.75000000E+01  2.51949828E-01  5.74500023E-03
  1.80000000E+01  2.47137996E-01  5.92278439E-03
  1.85000000E+01  2.39648875E-01  5.76020800E-03
  1.90000000E+01  2.38013210E-01  5.35321022E-03
  1.95000000E+01  2.41193386E-01  5.23443470E-03
  2.00000000E+01  2.44760279E-01  5.32473552E-03
  2.05000000E+01  2.45559288E-01  5.77921004E-03
  2.10000000E+01  2.45322225E-01  4.89856682E-03
  2.15000000E+01  2.43971243E-01  5.32041003E-03
  2.20000000E+01  2.42327933E-01  5.74699453E-03
  2.25000000E+01  2.43461995E-01  5.22637716E-03
  2.30000000E+01  2.45249735E-01  5.44522083E-03
  2.35000000E+01  2.43950240E-01  5.69085630E-03
  2.40000000E+01  2.39996140E-01  5.41035482E-03
  2.45000000E+01  2.38844914E-01  5.07354090E-03
  2.50000000E+01  2.41493896E-01  5.75061253E-03
  2.55000000E+01  2.45395905E-01  5.58213314E-03
  2.60000000E+01  2.48612383E-01  5.02356088E-03
  2.65000000E+01  2.49759112E-01  5.85699442E-03
  2.70000000E+01  2.46720129E-01  5.81555679E-03
  2.75000000E+01  2.40081724E-01  5.55601552E-03
  2.80000000E+01  2.36806713E-01  5.48091514E-03
  2.85000000E+01  2.38028328E-01  5.62837549E-03
  2.90000000E+01  2.41472731E-01  5.40977394E-03
  2.95000000E+01  2.46225965E-01  5.31376232E-03
  3.00000000E+01  2.49150181E-01  5.90311280E-03
  3.05000000E+01  2.46990187E-01  5.84744133E-03
  3.10000000E+01  2.42597195E-01  5.70193345E-03
  3.15000000E+01  2.40569634E-01  5.42770811E-03
  3.20000000E+01  2.40081644E-01  5.47425537E-03
  3.25000000E+01  2.41704325E-01  5.14511016E-03
  3.30000000E+01  2.46544341E-01  5.60628442E-03
  3.35000000E+01  2.50630300E-01  5.64198481E-03
  3.40000000E+01  2.49170270E-01  5.42699742E-03
  3.45000000E+01  2.44202366E-01  5.70021350E-03
  3.50000000E+01  2.41796041E-01  5.96695357E-03
  3.55000000E+01  2.40032702E-01  5.57637483E-03
  3.60000000E+01  2.40407784E-01  5.48758858E-03
  3.65000000E+01  2.43803360E-01  5.89112499E-03
  3.70000000E+01  2.47422251E-01  5.74245671E-03
  3.75000000E+01  2.48951072E-01  5.92130769E-03
  3.80000000E+01  2.47398828E-01  5.95376313E-03
  3.85000000E+01  2.43117207E-01  6.01001562E-03
  3.90000000E+01  2.40537561E-01  5.17268461E-03
  3.95000000E+01  2.42253207E-01  5.52136958E-03
  4.00000000E+01  2.46224889E-01  6.23344889E-03
  4.05000000E+01  2.47908543E-01  5.21396666E-03
  4.10000000E+01  2.45424085E-01  5.78952371E-03
  4.15000000E+01  2.43582908E-01  5.65783785E-03
  4.20000000E+01  2.41837042E-01  5.54875566E-03
  4.25000000E+01  2.42719139E-01  5.19479235E-03
  4.30000000E+01  2.47565697E-01  5.65639282E-03
  4.35000000E+01  2.50306767E-01  6.03215169E-03
  4.40000000E+01  2.48105132E-01  4.92965929E-03
  4.45000000E+01  2.44046413E-01  5.78135107E-03
  4.50000000E+01  2.40637584E-01  5.83047115E-03
  4.55000000E+01  2.40172445E-01  5.51196787E-03
  4.60000000E+01  2.43182603E-01  4.88956126E-03
  4.65000000E+01  2.47728588E-01  5.66193654E-03
  4.70000000E+01  2.49659089E-01  6.15492559E-03
  4.75000000E+01  2.46071054E-01  5.09700890E-03
  4.80000000E+01  2.41530975E-01  5.53199830E-03
  4.85000000E+01  2.39370965E-01  5.53785193E-03
  4.90000000E+01  2.39495115E-01  4.78481884E-03
  4.95000000E+01  2.44948555E-01  5.02992849E-03
  5.00000000E+01  2.51837078E-01  5.72484039E-03
  5.05000000E+01  2.53240470E-01  5.80650528E-03
  5.10000000E+01  2.50078698E-01  5.34072882E-03
  5.15000000E+01  2.45831729E-01  5.80093489E-03
  5.20000000E+01  2.41257448E-01  5.53676353E-03
  5.25000000E+01  2.39001736E-01  5.02849024E-03
  5.30000000E+01  2.40757893E-01  5.57868055E-03
  5.35000000E+01  2.45475190E-01  5.63907124E-03
  5.40000000E+01  2.49299409E-01  5.43642607E-03
  5.45000000E+01  2.49033768E-01  5.14160479E-03
  5.50000000E+01  2.48049076E-01  5.56156435E-03
  5.55000000E+01  2.45655684E-01  5.22919206E-03
  5.60000000E+01  2.41475370E-01  4.71667484E-03
  5.65000000E+01  2.37877153E-01  4.95374778E-03
  5.70000000E+01  2.40351884E-01  5.29303435E-03
  5.75000000E+01  2.46782598E-01  5.24720718E-03
  5.80000000E+01  2.49859409E-01  4.84099256E-03
  5.85000000E+01  2.48611899E-01  5.10193146E-03
  5.90000000E+01  2.45083056E-01  5.19934831E-03
  5.95000000E+01  2.42712802E-01  4.91046790E-03
  6.00000000E+01  2.39329372E-01  5.31191343E-03
  6.05000000E+01  2.37875030E-01  6.00027610E-03
  6.10000000E+01  2.41923153E-01  5.43060919E-03
  6.15000000E+01  2.46803346E-01  5.29317563E-03
  6.20000000E+01  2.47271567E-01  5.78926667E-03
  6.25000000E+01  2.44455527E-01  5.38253122E-03
  6.30000000E+01  2.43766747E-01  5.02158528E-03
  6.35000000E+01  2.43038662E-01  5.30913909E-03
  6.40000000E+01  2.42382589E-01  5.72152744E-03
  6.45000000E+01  2.43988525E-01  5.52525639E-03
  6.50000000E+01  2.45445078E-01  5.43426238E-03
  6.55000000E+01  2.42884190E-01  5.76145689E-03
  6.60000000E+01  2.40614862E-01  5.19776989E-03
  6.65000000E+01  2.42637789E-01  5.26403050E-03
  6.70000000E+01  2.47183430E-01  5.19674189E-03
  6.75000000E+01  2.47472418E-01  5.63036587E-03
  6.80000000E+01  2.46170250E-01  6.30490642E-03
  6.85000000E+01  2.45064611E-01  5.76403110E-03
  6.90000000E+01  2.41202907E-01  5.45261623E-03
  6.95000000E+01  2.39960848E-01  5.32940048E-03
  7.00000000E+01  2.43098339E-01  5.62238591E-03
  7.05000000E+01  2.47252848E-01  5.69331051E-03
  7.10000000E+01  2.50535971E-01  5.56635076E-03
  7.15000000E+01  2.50227700E-01  6.08003100E-03
  7.20000000E+01  2.45508906E-01  6.41924920E-03
  7.25000000E+01  2.40177283E-01  5.21706094E-03
  7.30000000E+01  2.39968678E-01  5.41220841E-03
  7.35000000E+01  2.43769480E-01  6.14915948E-03
  7.40000000E+01  2.48762464E-01  6.46815231E-03
  7.45000000E+01  2.51873587E-01  5.48431757E-03
  7.50000000E+01  2.49750056E-01  5.75980254E-03
  7.55000000E+01  2.45919481E-01  6.84996587E-03
  7.60000000E+01  2.41108588E-01  5.25823184E-03
  7.65000000E+01  2.36396691E-01  4.97206885E-03
  7.70000000E+01  2.38403000E-01  5.94789289E-03
  7.75000000E+01  2.46756417E-01  6.65971796E-03
