# PIMCID: a48c7b1e-9699-4db5-b21f-f7eaecb6ffec
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  4.91228536E+02 -6.67487539E+02 -1.76259003E+02  2.41026367E+00  1.85801908E+01 -2.69848653E+01 -8.40467454E+00  2.48151759E+01  6.18591558E+02  2.57923782E-02
  4.53742966E+02 -6.53729899E+02 -1.99986933E+02 -2.43851784E+01  1.73685123E+01 -2.68887563E+01 -9.52024404E+00  2.43891327E+01  5.97736888E+02  2.53495577E-02
  4.14092225E+02 -6.32163823E+02 -2.18071598E+02 -4.71552230E+01  1.59296651E+01 -2.67356323E+01 -1.08059672E+01  2.37383854E+01  5.67032240E+02  2.46731845E-02
  4.78846069E+02 -6.40385503E+02 -1.61539433E+02  1.13246020E+01  1.86025007E+01 -2.67585324E+01 -8.15603167E+00  2.40088938E+01  5.79574115E+02  2.49543453E-02
  4.62369455E+02 -6.57843635E+02 -1.95474180E+02 -2.03303425E+01  1.77471638E+01 -2.71338103E+01 -9.38664646E+00  2.43255330E+01  5.94599645E+02  2.52834535E-02
  4.17846662E+02 -6.32462170E+02 -2.14615508E+02 -4.32243210E+01  1.57814273E+01 -2.66890872E+01 -1.09076599E+01  2.38043316E+01  5.70527968E+02  2.47417276E-02
  4.90829779E+02 -6.86244473E+02 -1.95414694E+02 -1.46006535E+01  1.85521552E+01 -2.73860699E+01 -8.83391469E+00  2.51130612E+01  6.33741633E+02  2.61019940E-02
  5.11414080E+02 -6.68083506E+02 -1.56669426E+02  2.17672514E+01  1.96216812E+01 -2.70190487E+01 -7.39736751E+00  2.47828718E+01  6.17065846E+02  2.57588020E-02
  5.07312932E+02 -6.67295687E+02 -1.59982755E+02  1.93122296E+01  1.91486479E+01 -2.68827004E+01 -7.73405242E+00  2.49020812E+01  6.23070711E+02  2.58827058E-02
  5.26781672E+02 -6.89927084E+02 -1.63145412E+02  1.91262245E+01  1.97380035E+01 -2.73080470E+01 -7.57004345E+00  2.53155051E+01  6.44328030E+02  2.63124099E-02
  5.20492594E+02 -6.61866546E+02 -1.41373952E+02  3.65931497E+01  1.98439336E+01 -2.68534851E+01 -7.00955150E+00  2.47176531E+01  6.14293571E+02  2.56910150E-02
  5.50634851E+02 -6.78703739E+02 -1.28068888E+02  5.26108344E+01  2.08457641E+01 -2.71165135E+01 -6.27074933E+00  2.50944059E+01  6.32875495E+02  2.60826041E-02
  5.01675285E+02 -6.73464918E+02 -1.71789633E+02  7.72195475E+00  1.90638382E+01 -2.70822962E+01 -8.01845800E+00  2.49321649E+01  6.24334948E+02  2.59139742E-02
  4.44656480E+02 -6.41199412E+02 -1.96542932E+02 -2.39921344E+01  1.72223045E+01 -2.68349507E+01 -9.61264611E+00  2.39653886E+01  5.77705078E+02  2.49091269E-02
  4.67199038E+02 -6.40159804E+02 -1.72960766E+02  5.31858969E-01  1.78318030E+01 -2.66760807E+01 -8.84427764E+00  2.40961979E+01  5.84082135E+02  2.50450874E-02
  4.54378972E+02 -6.58965447E+02 -2.04586475E+02 -2.80072407E+01  1.71692391E+01 -2.69643381E+01 -9.79509899E+00  2.45248936E+01  6.04619681E+02  2.54906648E-02
  4.39903705E+02 -6.48309798E+02 -2.08406093E+02 -3.42647184E+01  1.67074182E+01 -2.69063688E+01 -1.01989506E+01  2.41863021E+01  5.88645781E+02  2.51387398E-02
  4.65462212E+02 -6.61543994E+02 -1.96081782E+02 -1.94255243E+01  1.76167921E+01 -2.70598975E+01 -9.44310540E+00  2.45355914E+01  6.04985054E+02  2.55017839E-02
  4.71768874E+02 -6.46661550E+02 -1.74892676E+02 -5.69570055E-01  1.82590663E+01 -2.67933994E+01 -8.53433309E+00  2.42115426E+01  5.89168032E+02  2.51649742E-02
  4.83655957E+02 -6.33619654E+02 -1.49963697E+02  2.10126611E+01  1.88914334E+01 -2.67707735E+01 -7.87934007E+00  2.37467164E+01  5.67418657E+02  2.46818436E-02
  5.67267381E+02 -6.61973792E+02 -9.47064112E+01  8.34471488E+01  2.17039719E+01 -2.68407004E+01 -5.13672851E+00  2.47435500E+01  6.15026850E+02  2.57179317E-02
  5.05613956E+02 -6.59796029E+02 -1.54182073E+02  2.36748904E+01  1.92663004E+01 -2.67923702E+01 -7.52606982E+00  2.47023560E+01  6.13500890E+02  2.56751155E-02
  5.03459921E+02 -6.42174849E+02 -1.38714928E+02  3.49121768E+01  1.95219022E+01 -2.67238741E+01 -7.20197188E+00  2.41148756E+01  5.84767910E+02  2.50645006E-02
