#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  5.60000000E+01  2.40136675E-01  5.45787401E-03
  5.65000000E+01  2.38874084E-01  5.56813104E-03
  5.70000000E+01  2.43608341E-01  6.34106845E-03
  5.75000000E+01  2.48628680E-01  6.25655266E-03
  5.80000000E+01  2.49896680E-01  5.84777202E-03
  5.85000000E+01  2.47112042E-01  5.99280192E-03
  5.90000000E+01  2.43158280E-01  6.20517406E-03
  5.95000000E+01  2.41202546E-01  5.83581605E-03
  6.00000000E+01  2.40283000E-01  5.91190716E-03
  6.05000000E+01  2.41806078E-01  6.60161513E-03
  6.10000000E+01  2.44669981E-01  6.21891932E-03
  6.15000000E+01  2.46188432E-01  5.94630184E-03
  6.20000000E+01  2.45103765E-01  6.26426877E-03
  6.25000000E+01  2.41580429E-01  6.19456957E-03
  6.30000000E+01  2.41933872E-01  5.76856935E-03
  6.35000000E+01  2.45214058E-01  5.83063657E-03
  6.40000000E+01  2.47871697E-01  6.48005509E-03
  6.45000000E+01  2.47989126E-01  6.34379417E-03
  6.50000000E+01  2.45821650E-01  6.00514177E-03
  6.55000000E+01  2.41662516E-01  6.11985460E-03
  6.60000000E+01  2.38983079E-01  6.02352285E-03
  6.65000000E+01  2.40495685E-01  6.05257584E-03
  6.70000000E+01  2.46922066E-01  6.05147139E-03
  6.75000000E+01  2.49174082E-01  6.45471134E-03
  6.80000000E+01  2.48941455E-01  6.72039820E-03
  6.85000000E+01  2.47540902E-01  6.59370196E-03
  6.90000000E+01  2.42344045E-01  6.41778380E-03
  6.95000000E+01  2.38789912E-01  5.97025616E-03
  7.00000000E+01  2.41062475E-01  5.98047737E-03
  7.05000000E+01  2.45581164E-01  6.25530896E-03
  7.10000000E+01  2.49990880E-01  6.49583492E-03
  7.15000000E+01  2.51908976E-01  6.39201074E-03
  7.20000000E+01  2.49265562E-01  6.37387040E-03
  7.25000000E+01  2.43891901E-01  5.99731210E-03
  7.30000000E+01  2.41133041E-01  5.94647862E-03
  7.35000000E+01  2.42837951E-01  5.94017227E-03
  7.40000000E+01  2.47438087E-01  6.06200195E-03
  7.45000000E+01  2.50958108E-01  6.30509761E-03
  7.50000000E+01  2.49845918E-01  6.27469875E-03
  7.55000000E+01  2.47497814E-01  6.60463822E-03
  7.60000000E+01  2.43623352E-01  5.92512908E-03
  7.65000000E+01  2.38513661E-01  5.76154831E-03
  7.70000000E+01  2.40240684E-01  6.13221353E-03
  7.75000000E+01  2.47763865E-01  6.38933305E-03
  7.80000000E+01  2.51361161E-01  6.12359857E-03
  7.85000000E+01  2.49631595E-01  6.19423855E-03
  7.90000000E+01  2.46637028E-01  6.90930195E-03
  7.95000000E+01  2.41799143E-01  6.16101631E-03
  8.00000000E+01  2.39489873E-01  5.82879753E-03
  8.05000000E+01  2.44551404E-01  6.12878614E-03
  8.10000000E+01  2.52564162E-01  6.45693400E-03
  8.15000000E+01  2.55559165E-01  5.95285251E-03
  8.20000000E+01  2.50381809E-01  6.23863565E-03
  8.25000000E+01  2.42088798E-01  6.86016090E-03
  8.30000000E+01  2.35855270E-01  6.26066662E-03
  8.35000000E+01  2.35651582E-01  5.99100110E-03
  8.40000000E+01  2.42421162E-01  6.27439926E-03
  8.45000000E+01  2.52273873E-01  6.68277356E-03
  8.50000000E+01  2.58345420E-01  6.24814641E-03
  8.55000000E+01  2.54258226E-01  6.27654202E-03
  8.60000000E+01  2.43333756E-01  6.71849133E-03
  8.65000000E+01  2.34308776E-01  6.44472198E-03
  8.70000000E+01  2.31744724E-01  6.04788047E-03
  8.75000000E+01  2.38448392E-01  6.02662488E-03
  8.80000000E+01  2.52028370E-01  6.77756382E-03
  8.85000000E+01  2.59613221E-01  6.53733454E-03
  8.90000000E+01  2.54048128E-01  6.54661898E-03
  8.95000000E+01  2.42338317E-01  6.36191868E-03
  9.00000000E+01  2.34054967E-01  6.26150282E-03
  9.05000000E+01  2.32929488E-01  6.05967072E-03
  9.10000000E+01  2.39531209E-01  5.99780531E-03
  9.15000000E+01  2.52682319E-01  6.63828290E-03
  9.20000000E+01  2.60670839E-01  6.60717878E-03
  9.25000000E+01  2.57181906E-01  6.56893998E-03
  9.30000000E+01  2.47560547E-01  6.43473786E-03
  9.35000000E+01  2.38487504E-01  6.32471455E-03
  9.40000000E+01  2.34039292E-01  6.32955886E-03
  9.45000000E+01  2.36902879E-01  6.13157135E-03
  9.50000000E+01  2.45976578E-01  6.59125252E-03
  9.55000000E+01  2.54250819E-01  6.63688737E-03
  9.60000000E+01  2.55343851E-01  6.67038532E-03
  9.65000000E+01  2.49167284E-01  6.48897412E-03
  9.70000000E+01  2.40958242E-01  6.42745511E-03
  9.75000000E+01  2.37823251E-01  6.19919459E-03
  9.80000000E+01  2.40789315E-01  6.30147809E-03
  9.85000000E+01  2.48659489E-01  6.49387187E-03
  9.90000000E+01  2.53750945E-01  6.41724003E-03
  9.95000000E+01  2.51767497E-01  6.59493716E-03
