# PIMCID: b2dcef60-8679-4057-b19a-17bc08d1d397
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  5.60617625E+02 -6.89193749E+02 -1.28576125E+02  5.42049893E+01  2.07339550E+01 -2.72481221E+01 -6.51416703E+00  2.53862658E+01  6.47816013E+02  2.63859572E-02
  4.80813360E+02 -6.49557480E+02 -1.68744120E+02  5.48712322E+00  1.83294040E+01 -2.69358891E+01 -8.60648518E+00  2.41987838E+01  5.89649324E+02  2.51517130E-02
  4.39802698E+02 -6.21730643E+02 -1.81927945E+02 -1.25197292E+01  1.70850499E+01 -2.65298853E+01 -9.44483542E+00  2.35289189E+01  5.57119189E+02  2.44554694E-02
  5.77057270E+02 -7.22325536E+02 -1.45268266E+02  4.26557120E+01  2.10468551E+01 -2.77370764E+01 -6.69022132E+00  2.61005525E+01  6.84564199E+02  2.71283719E-02
  4.31933269E+02 -6.41101501E+02 -2.09168232E+02 -3.75004060E+01  1.64824582E+01 -2.69958042E+01 -1.05133459E+01  2.38427536E+01  5.72404686E+02  2.47816627E-02
  4.87663750E+02 -6.68812700E+02 -1.81148950E+02 -3.43536465E+00  1.85488459E+01 -2.71763408E+01 -8.62749494E+00  2.46824424E+01  6.12095069E+02  2.56544177E-02
  5.16709541E+02 -6.88093822E+02 -1.71384282E+02  1.03267184E+01  1.94449073E+01 -2.73348157E+01 -7.88990834E+00  2.52376389E+01  6.39521991E+02  2.62314774E-02
  4.69934403E+02 -6.48734213E+02 -1.78799810E+02 -4.71965677E+00  1.79725354E+01 -2.69387587E+01 -8.96622332E+00  2.41777990E+01  5.87751100E+02  2.51299019E-02
  5.55104804E+02 -6.96902688E+02 -1.41797883E+02  4.29770041E+01  2.08394150E+01 -2.72001439E+01 -6.36072892E+00  2.56631788E+01  6.61007152E+02  2.66737748E-02
  4.75255576E+02 -6.53022118E+02 -1.77766542E+02 -2.51888666E+00  1.80608589E+01 -2.69255744E+01 -8.86471553E+00  2.43399522E+01  5.96141579E+02  2.52984405E-02
  5.27321737E+02 -6.71631560E+02 -1.44309823E+02  3.52208268E+01  1.99444469E+01 -2.70087017E+01 -7.06425484E+00  2.49348125E+01  6.25202812E+02  2.59167260E-02
  4.98067853E+02 -6.68742196E+02 -1.70674342E+02  7.42472298E+00  1.87112456E+01 -2.71246220E+01 -8.41337639E+00  2.47359813E+01  6.15494860E+02  2.57100650E-02
  4.02560543E+02 -6.38290513E+02 -2.35729970E+02 -6.45603313E+01  1.54170751E+01 -2.69546718E+01 -1.15375967E+01  2.37735610E+01  5.68506927E+02  2.47097453E-02
  4.86677406E+02 -6.74629886E+02 -1.87952480E+02 -9.13492288E+00  1.81261778E+01 -2.72725294E+01 -9.14635166E+00  2.48357718E+01  6.20454161E+02  2.58137851E-02
  4.67354750E+02 -6.76563928E+02 -2.09209178E+02 -3.13968959E+01  1.76608972E+01 -2.74898644E+01 -9.82896716E+00  2.46961502E+01  6.12736526E+02  2.56686654E-02
  4.87622057E+02 -6.57097253E+02 -1.69475196E+02  6.52059980E+00  1.84797076E+01 -2.69819424E+01 -8.50223476E+00  2.44438605E+01  6.01032791E+02  2.54064406E-02
  4.83296102E+02 -6.63689441E+02 -1.80393339E+02 -4.00164673E+00  1.84536574E+01 -2.71684369E+01 -8.71477954E+00  2.44988462E+01  6.03369231E+02  2.54635916E-02
  4.17619204E+02 -6.43974484E+02 -2.26355280E+02 -5.43815890E+01  1.57980186E+01 -2.70710539E+01 -1.12730353E+01  2.38852349E+01  5.74602550E+02  2.48258168E-02
  5.06828143E+02 -6.81307741E+02 -1.74479598E+02  5.61792065E+00  1.91308506E+01 -2.73171358E+01 -8.18628522E+00  2.50135443E+01  6.28658481E+02  2.59985582E-02
  4.55821129E+02 -6.67658950E+02 -2.11837820E+02 -3.50120214E+01  1.73193188E+01 -2.72597849E+01 -9.94046602E+00  2.45591388E+01  6.06336172E+02  2.55262585E-02
  5.81417798E+02 -7.30878236E+02 -1.49460438E+02  3.83622818E+01  2.15085743E+01 -2.80669034E+01 -6.55832910E+00  2.60864889E+01  6.83505956E+02  2.71137545E-02
  5.27664120E+02 -6.77767666E+02 -1.50103546E+02  3.09153486E+01  1.98358694E+01 -2.70384565E+01 -7.20258706E+00  2.51415132E+01  6.35305197E+02  2.61315663E-02
  3.88521727E+02 -6.38995176E+02 -2.50473449E+02 -7.95332164E+01  1.47342883E+01 -2.70226148E+01 -1.22883265E+01  2.37416990E+01  5.67071990E+02  2.46766286E-02
  4.96525250E+02 -6.60840430E+02 -1.64315180E+02  1.32768197E+01  1.85927691E+01 -2.68898944E+01 -8.29712531E+00  2.46655556E+01  6.12295121E+02  2.56368659E-02
  4.62807479E+02 -6.49471812E+02 -1.86664333E+02 -1.21919856E+01  1.75246180E+01 -2.68989823E+01 -9.37436429E+00  2.42322705E+01  5.90898937E+02  2.51865184E-02
  4.48587190E+02 -6.38344850E+02 -1.89757661E+02 -1.81475737E+01  1.71826357E+01 -2.68930791E+01 -9.71044337E+00  2.38347343E+01  5.71521401E+02  2.47733276E-02
