#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  0.00000000E+00  2.52227754E-01  8.76133253E-03
  5.00000000E-01  2.45535071E-01  8.16835466E-03
  1.00000000E+00  2.44367685E-01  8.91635206E-03
  1.50000000E+00  2.48560764E-01  9.42700208E-03
  2.00000000E+00  2.54700216E-01  9.56375648E-03
  2.50000000E+00  2.57876714E-01  8.14687514E-03
  3.00000000E+00  2.51957961E-01  9.30451925E-03
  3.50000000E+00  2.43188304E-01  8.51525301E-03
  4.00000000E+00  2.40056155E-01  7.70971165E-03
  4.50000000E+00  2.45414459E-01  8.53920007E-03
  5.00000000E+00  2.54697021E-01  9.31682474E-03
  5.50000000E+00  2.60751995E-01  9.76420659E-03
  6.00000000E+00  2.57653361E-01  8.05094022E-03
  6.50000000E+00  2.46089979E-01  8.50803705E-03
  7.00000000E+00  2.37026537E-01  8.39277528E-03
  7.50000000E+00  2.41005769E-01  8.33879921E-03
  8.00000000E+00  2.52802883E-01  8.02497894E-03
  8.50000000E+00  2.64364447E-01  9.32521874E-03
  9.00000000E+00  2.66764651E-01  1.00767201E-02
  9.50000000E+00  2.56534282E-01  7.71030981E-03
  1.00000000E+01  2.39922333E-01  8.44537008E-03
  1.05000000E+01  2.31007661E-01  8.09206353E-03
  1.10000000E+01  2.40334316E-01  9.56188587E-03
  1.15000000E+01  2.56068965E-01  8.52358503E-03
  1.20000000E+01  2.66803569E-01  9.33609245E-03
  1.25000000E+01  2.65465758E-01  9.81618412E-03
  1.30000000E+01  2.51773192E-01  8.77912914E-03
  1.35000000E+01  2.34789949E-01  8.44196512E-03
  1.40000000E+01  2.31317696E-01  8.26356517E-03
  1.45000000E+01  2.45745511E-01  9.00284905E-03
  1.50000000E+01  2.65039640E-01  9.07623725E-03
  1.55000000E+01  2.74067142E-01  1.03684736E-02
  1.60000000E+01  2.62278253E-01  8.85991423E-03
  1.65000000E+01  2.39192147E-01  9.12548117E-03
  1.70000000E+01  2.25732928E-01  9.18002611E-03
  1.75000000E+01  2.32696871E-01  9.03872514E-03
  1.80000000E+01  2.56661958E-01  8.80175131E-03
  1.85000000E+01  2.78333205E-01  9.50522380E-03
  1.90000000E+01  2.78458577E-01  1.11068291E-02
  1.95000000E+01  2.52899375E-01  8.87019157E-03
  2.00000000E+01  2.22569342E-01  8.39810425E-03
