#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  0.00000000E+00  2.72025132E-01  8.43584139E-03
  5.00000000E-01  2.52743504E-01  8.09857896E-03
  1.00000000E+00  2.35462518E-01  8.08464037E-03
  1.50000000E+00  2.30054587E-01  8.01949327E-03
  2.00000000E+00  2.38696233E-01  7.97619143E-03
  2.50000000E+00  2.57401789E-01  8.55153259E-03
  3.00000000E+00  2.66227542E-01  8.80505171E-03
  3.50000000E+00  2.59669493E-01  8.03604449E-03
  4.00000000E+00  2.48451661E-01  8.00144108E-03
  4.50000000E+00  2.38067332E-01  7.48215481E-03
  5.00000000E+00  2.37950369E-01  7.74482309E-03
  5.50000000E+00  2.50647578E-01  8.69509278E-03
  6.00000000E+00  2.60341627E-01  8.77874831E-03
  6.50000000E+00  2.56013396E-01  8.09497385E-03
  7.00000000E+00  2.47649001E-01  7.73734274E-03
  7.50000000E+00  2.43348679E-01  8.12611473E-03
  8.00000000E+00  2.40701852E-01  7.37298801E-03
  8.50000000E+00  2.48151602E-01  7.66334250E-03
  9.00000000E+00  2.60762326E-01  8.80309797E-03
  9.50000000E+00  2.60883059E-01  8.77849654E-03
  1.00000000E+01  2.47944939E-01  7.69244485E-03
  1.05000000E+01  2.37149981E-01  7.42925730E-03
  1.10000000E+01  2.37908182E-01  8.06071538E-03
  1.15000000E+01  2.45578809E-01  7.76728389E-03
  1.20000000E+01  2.58289075E-01  8.09229362E-03
  1.25000000E+01  2.66074362E-01  9.18698351E-03
  1.30000000E+01  2.58075940E-01  8.67489009E-03
  1.35000000E+01  2.38901156E-01  7.47785110E-03
  1.40000000E+01  2.30174998E-01  7.89656765E-03
  1.45000000E+01  2.34121097E-01  7.87276706E-03
  1.50000000E+01  2.48642789E-01  7.95517301E-03
  1.55000000E+01  2.66514974E-01  8.93663881E-03
  1.60000000E+01  2.68633408E-01  9.55157852E-03
  1.65000000E+01  2.53063238E-01  8.65537595E-03
  1.70000000E+01  2.37475215E-01  7.96299001E-03
  1.75000000E+01  2.32252524E-01  8.29759617E-03
  1.80000000E+01  2.39341359E-01  8.23298012E-03
  1.85000000E+01  2.55392677E-01  8.16734067E-03
  1.90000000E+01  2.71443691E-01  9.69760113E-03
  1.95000000E+01  2.63506696E-01  9.73130722E-03
  2.00000000E+01  2.40058145E-01  8.37735133E-03
  2.05000000E+01  2.27957184E-01  8.00828215E-03
  2.10000000E+01  2.33952580E-01  8.52623161E-03
  2.15000000E+01  2.47904386E-01  8.64397534E-03
  2.20000000E+01  2.69055856E-01  8.50518582E-03
  2.25000000E+01  2.79124160E-01  9.71178494E-03
  2.30000000E+01  2.57524218E-01  9.26081877E-03
  2.35000000E+01  2.26147218E-01  7.59186848E-03
  2.40000000E+01  2.20527166E-01  8.00335197E-03
  2.45000000E+01  2.39865941E-01  8.63463600E-03
  2.50000000E+01  2.65537899E-01  8.59230584E-03
  2.55000000E+01  2.80909961E-01  8.64659481E-03
  2.60000000E+01  2.73153136E-01  9.56104630E-03
  2.65000000E+01  2.41912149E-01  8.73384478E-03
  2.70000000E+01  2.16092148E-01  7.30258613E-03
  2.75000000E+01  2.18504468E-01  7.68608030E-03
  2.80000000E+01  2.49443322E-01  8.37974391E-03
  2.85000000E+01  2.84602890E-01  9.11738786E-03
  2.90000000E+01  2.88597130E-01  9.30692718E-03
  2.95000000E+01  2.56380555E-01  8.85873444E-03
  3.00000000E+01  2.23572143E-01  8.06733152E-03
  3.05000000E+01  2.11572644E-01  7.42558077E-03
  3.10000000E+01  2.27816403E-01  7.53880064E-03
  3.15000000E+01  2.68002610E-01  8.61834823E-03
  3.20000000E+01  3.00062043E-01  9.48044177E-03
  3.25000000E+01  2.85322708E-01  9.27074452E-03
  3.30000000E+01  2.36418929E-01  7.94591913E-03
  3.35000000E+01  2.02748126E-01  7.66888363E-03
  3.40000000E+01  2.03645289E-01  7.31624373E-03
  3.45000000E+01  2.39900853E-01  7.17961705E-03
  3.50000000E+01  2.97905572E-01  8.30255134E-03
  3.55000000E+01  3.23517364E-01  1.00171888E-02
  3.60000000E+01  2.75073787E-01  9.09077004E-03
  3.65000000E+01  2.02309923E-01  6.29524637E-03
  3.70000000E+01  1.71866394E-01  6.32045800E-03
  3.75000000E+01  1.95771193E-01  7.02122732E-03
  3.80000000E+01  2.63154955E-01  6.89467516E-03
  3.85000000E+01  3.43440822E-01  7.45333444E-03
  3.90000000E+01  3.54328455E-01  9.20425045E-03
  3.95000000E+01  2.61983871E-01  8.30706053E-03
  4.00000000E+01  1.58341552E-01  4.93450187E-03
  4.05000000E+01  1.25208544E-01  4.32550453E-03
  4.10000000E+01  1.64830678E-01  5.54593111E-03
  4.15000000E+01  2.69040957E-01  6.07176652E-03
  4.20000000E+01  3.96726303E-01  5.94624899E-03
  4.25000000E+01  4.21795459E-01  7.16877842E-03
  4.30000000E+01  2.96631150E-01  6.76925423E-03
  4.35000000E+01  1.49061098E-01  3.95983082E-03
  4.40000000E+01  8.23820309E-02  2.16774206E-03
  4.45000000E+01  8.61509653E-02  2.41470132E-03
  4.50000000E+01  1.39280419E-01  3.11612124E-03
  4.55000000E+01  2.41415379E-01  4.27592795E-03
  4.60000000E+01  3.44642226E-01  5.63325967E-03
  4.65000000E+01  3.59220864E-01  5.85822154E-03
  4.70000000E+01  2.79276619E-01  4.79386043E-03
  4.75000000E+01  1.89288868E-01  4.45048585E-03
  4.80000000E+01  1.49340370E-01  4.42532614E-03
  4.85000000E+01  1.76380146E-01  4.73291940E-03
  4.90000000E+01  2.65255490E-01  5.14323618E-03
  4.95000000E+01  3.54822862E-01  6.15702886E-03
  5.00000000E+01  3.57092302E-01  6.59605902E-03
  5.05000000E+01  2.73011823E-01  5.26241809E-03
  5.10000000E+01  1.84565650E-01  4.29023442E-03
  5.15000000E+01  1.49630170E-01  4.23272752E-03
  5.20000000E+01  1.81344676E-01  4.45169162E-03
  5.25000000E+01  2.70641365E-01  4.67774675E-03
  5.30000000E+01  3.54915137E-01  5.31789596E-03
  5.35000000E+01  3.46811118E-01  5.36873636E-03
  5.40000000E+01  2.49735679E-01  4.28935043E-03
  5.45000000E+01  1.45800533E-01  3.11409474E-03
  5.50000000E+01  8.69198030E-02  2.25736062E-03
  5.55000000E+01  7.98206782E-02  1.96503447E-03
  5.60000000E+01  1.42106014E-01  3.85671621E-03
  5.65000000E+01  2.81942540E-01  6.99410496E-03
  5.70000000E+01  4.11163852E-01  7.29568455E-03
  5.75000000E+01  4.03097359E-01  5.62871737E-03
  5.80000000E+01  2.86401411E-01  5.96269073E-03
  5.85000000E+01  1.74923762E-01  5.57417182E-03
  5.90000000E+01  1.26937949E-01  4.39276280E-03
  5.95000000E+01  1.53727155E-01  4.85266002E-03
  6.00000000E+01  2.46299461E-01  7.64544099E-03
  6.05000000E+01  3.35610909E-01  8.85463315E-03
  6.10000000E+01  3.38693364E-01  7.34435699E-03
  6.15000000E+01  2.71873397E-01  6.86001322E-03
  6.20000000E+01  2.05579639E-01  6.98514977E-03
  6.25000000E+01  1.75195728E-01  6.06402567E-03
  6.30000000E+01  1.94340089E-01  6.26268925E-03
  6.35000000E+01  2.56338732E-01  8.31072710E-03
  6.40000000E+01  3.09968977E-01  9.42933943E-03
  6.45000000E+01  3.02946718E-01  7.97509647E-03
  6.50000000E+01  2.56870423E-01  7.23576477E-03
  6.55000000E+01  2.17736461E-01  7.56679809E-03
  6.60000000E+01  2.00781777E-01  7.00553428E-03
  6.65000000E+01  2.16421262E-01  7.01332435E-03
  6.70000000E+01  2.60205060E-01  8.68824773E-03
  6.75000000E+01  2.90671563E-01  9.24175191E-03
  6.80000000E+01  2.77737885E-01  7.85427131E-03
  6.85000000E+01  2.45772348E-01  7.25483657E-03
  6.90000000E+01  2.24287981E-01  7.81561155E-03
  6.95000000E+01  2.20485475E-01  7.71772361E-03
  7.00000000E+01  2.39481191E-01  7.86002989E-03
  7.05000000E+01  2.66509464E-01  9.07284657E-03
  7.10000000E+01  2.74274914E-01  9.24801236E-03
  7.15000000E+01  2.58980325E-01  7.97077300E-03
  7.20000000E+01  2.40547007E-01  7.33673853E-03
  7.25000000E+01  2.34818552E-01  8.27324938E-03
  7.30000000E+01  2.39205152E-01  8.62753065E-03
  7.35000000E+01  2.50749066E-01  8.42194215E-03
  7.40000000E+01  2.60906802E-01  8.97614094E-03
  7.45000000E+01  2.58351873E-01  8.81140841E-03
  7.50000000E+01  2.47874338E-01  7.90276558E-03
  7.55000000E+01  2.41944126E-01  7.78909600E-03
