# PIMCID: b561ebee-926e-4877-8859-9a9056ff72c9
#              K               V           V_ext           V_int               E            E_mu             K/N             V/N             E/N               N             N^2         density        diagonal
  9.42838942E+02 -2.74489665E+03 -2.60844402E+03 -1.25696363E+02 -1.80205771E+03 -1.58686444E+03  3.15412546E+01 -9.18401370E+01 -6.02988824E+01  2.98879539E+01  8.93389278E+02  1.13122844E-02  6.97131735E-01
  1.02223534E+03 -2.83539482E+03 -2.70044002E+03 -1.23218205E+02 -1.81315948E+03 -1.58995948E+03  3.29753337E+01 -9.14643491E+01 -5.84890155E+01  3.10000000E+01  9.61000000E+02  1.17331825E-02  7.06284586E-01
  9.48577496E+02 -2.75484888E+03 -2.61824184E+03 -1.25758384E+02 -1.80627139E+03 -1.59027139E+03  3.16192499E+01 -9.18282961E+01 -6.02090462E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  6.91265189E-01
  9.47392738E+02 -2.75438703E+03 -2.61725430E+03 -1.25966930E+02 -1.80699430E+03 -1.59099430E+03  3.15797579E+01 -9.18129011E+01 -6.02331432E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  8.19510601E-01
  9.46597526E+02 -2.75347170E+03 -2.61736534E+03 -1.25524882E+02 -1.80687418E+03 -1.59087418E+03  3.15532509E+01 -9.17823902E+01 -6.02291393E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  6.43340814E-01
  9.49363677E+02 -2.75426015E+03 -2.61758855E+03 -1.25969091E+02 -1.80489647E+03 -1.58889647E+03  3.16454559E+01 -9.18086716E+01 -6.01632157E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.13746669E-01
  9.48368710E+02 -2.75434446E+03 -2.61771192E+03 -1.26143402E+02 -1.80597575E+03 -1.58997575E+03  3.16122903E+01 -9.18114820E+01 -6.01991917E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.37587254E-01
  9.82309686E+02 -2.78904929E+03 -2.65245988E+03 -1.25278399E+02 -1.80673960E+03 -1.58774089E+03  3.22838024E+01 -9.16983031E+01 -5.94145007E+01  3.04164885E+01  9.25405802E+02  1.15123294E-02  8.78533765E-01
  9.49632753E+02 -2.75497799E+03 -2.61806117E+03 -1.26017098E+02 -1.80534523E+03 -1.58934523E+03  3.16544251E+01 -9.18325995E+01 -6.01781744E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.01162681E-01
  9.48197774E+02 -2.75548501E+03 -2.61807974E+03 -1.26795801E+02 -1.80728724E+03 -1.59128724E+03  3.16065925E+01 -9.18495004E+01 -6.02429080E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  6.45052115E-01
  9.49455275E+02 -2.75374986E+03 -2.61710106E+03 -1.26036286E+02 -1.80429459E+03 -1.58829459E+03  3.16485092E+01 -9.17916620E+01 -6.01431529E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.12297510E-01
  9.33935293E+02 -2.73872485E+03 -2.60261138E+03 -1.25630062E+02 -1.80478955E+03 -1.59016619E+03  3.13237808E+01 -9.18767631E+01 -6.05529823E+01  2.98088003E+01  8.88719219E+02  1.12823256E-02  6.96847673E-01
  9.34393058E+02 -2.73742819E+03 -2.60176093E+03 -1.25050267E+02 -1.80303513E+03 -1.58840959E+03  3.13391899E+01 -9.18322166E+01 -6.04930267E+01  2.98091031E+01  8.88737085E+02  1.12824402E-02  6.42292606E-01
  9.48350900E+02 -2.75462321E+03 -2.61791954E+03 -1.25908075E+02 -1.80627231E+03 -1.59027231E+03  3.16116967E+01 -9.18207735E+01 -6.02090769E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.07483878E-01
  9.48358542E+02 -2.75538126E+03 -2.61784376E+03 -1.26533621E+02 -1.80702272E+03 -1.59102272E+03  3.16119514E+01 -9.18460421E+01 -6.02340906E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  8.19936486E-01
  9.48008142E+02 -2.75414108E+03 -2.61750825E+03 -1.25734675E+02 -1.80613294E+03 -1.59013294E+03  3.16002714E+01 -9.18047027E+01 -6.02044313E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.04384277E-01
  9.46905281E+02 -2.75490529E+03 -2.61793391E+03 -1.26155984E+02 -1.80800001E+03 -1.59200001E+03  3.15635094E+01 -9.18301763E+01 -6.02666669E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.00789933E-01
  9.48251948E+02 -2.75467484E+03 -2.61776560E+03 -1.26011059E+02 -1.80642289E+03 -1.59042289E+03  3.16083983E+01 -9.18224946E+01 -6.02140963E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.09559445E-01
  9.48626307E+02 -2.75517830E+03 -2.61823814E+03 -1.26193601E+02 -1.80655199E+03 -1.59055199E+03  3.16208769E+01 -9.18392767E+01 -6.02183998E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  6.44140636E-01
  9.48527559E+02 -2.75555412E+03 -2.61835576E+03 -1.26413717E+02 -1.80702656E+03 -1.59102656E+03  3.16175853E+01 -9.18518039E+01 -6.02342186E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.41981743E-01
  9.47381473E+02 -2.75465148E+03 -2.61847002E+03 -1.25438393E+02 -1.80727001E+03 -1.59127001E+03  3.15793824E+01 -9.18217161E+01 -6.02423337E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.05324316E-01
  9.51310603E+02 -2.75525339E+03 -2.61818544E+03 -1.26177829E+02 -1.80394279E+03 -1.58794279E+03  3.17103534E+01 -9.18417797E+01 -6.01314262E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.25922341E-01
  9.45443775E+02 -2.75504064E+03 -2.61819689E+03 -1.26058981E+02 -1.80959686E+03 -1.59359686E+03  3.15147925E+01 -9.18346879E+01 -6.03198954E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.37396227E-01
  9.46909511E+02 -2.75489264E+03 -2.61816919E+03 -1.26054848E+02 -1.80798312E+03 -1.59198312E+03  3.15636504E+01 -9.18297545E+01 -6.02661042E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  6.97243461E-01
  9.48031433E+02 -2.75461472E+03 -2.61803018E+03 -1.25821868E+02 -1.80658329E+03 -1.59058329E+03  3.16010478E+01 -9.18204908E+01 -6.02194430E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  6.99604933E-01
  9.47411663E+02 -2.75398459E+03 -2.61758286E+03 -1.25509728E+02 -1.80657293E+03 -1.59057483E+03  3.15806844E+01 -9.18003012E+01 -6.02196168E+01  2.99997367E+01  8.99984464E+02  1.13545930E-02  6.43276799E-01
  9.44399232E+02 -2.75491954E+03 -2.61742296E+03 -1.26432192E+02 -1.81052031E+03 -1.59452031E+03  3.14799744E+01 -9.18306515E+01 -6.03506771E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.04910787E-01
