# PIMCID: 0adf14b9-6edf-4218-af01-82d3956625fc
#              K               V           V_ext           V_int               E            E_mu             K/N             V/N             E/N               N             N^2         density        diagonal
  9.46344148E+02 -2.75460424E+03 -2.61782479E+03 -1.25985463E+02 -1.80826009E+03 -1.59226009E+03  3.15448049E+01 -9.18201413E+01 -6.02753364E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.35257554E-01
  8.79291659E+02 -2.66664086E+03 -2.53433516E+03 -1.22721675E+02 -1.78734920E+03 -1.57854920E+03  3.03204020E+01 -9.19531332E+01 -6.16327312E+01  2.90000000E+01  8.41000000E+02  1.09762030E-02  7.30692523E-01
  9.47001965E+02 -2.75456163E+03 -2.61746889E+03 -1.26528193E+02 -1.80755966E+03 -1.59155966E+03  3.15667322E+01 -9.18187210E+01 -6.02519888E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  8.02586747E-01
  9.49198738E+02 -2.75443001E+03 -2.61779764E+03 -1.25926390E+02 -1.80523127E+03 -1.58923127E+03  3.16399579E+01 -9.18143337E+01 -6.01743758E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.93987264E-01
  9.47065948E+02 -2.75553793E+03 -2.61827564E+03 -1.26568889E+02 -1.80847198E+03 -1.59247198E+03  3.15688649E+01 -9.18512644E+01 -6.02823995E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.00155201E-01
  9.19997439E+02 -2.71787613E+03 -2.58323887E+03 -1.24520153E+02 -1.79787869E+03 -1.58484385E+03  3.10826639E+01 -9.18577745E+01 -6.07751106E+01  2.95881733E+01  8.75702227E+02  1.11988205E-02  6.87634688E-01
  9.47439174E+02 -2.75503335E+03 -2.61806289E+03 -1.26356649E+02 -1.80759417E+03 -1.59159417E+03  3.15813058E+01 -9.18344448E+01 -6.02531391E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.35532941E-01
  8.89929508E+02 -2.68199446E+03 -2.54869299E+03 -1.23134639E+02 -1.79206495E+03 -1.58199688E+03  3.04954057E+01 -9.19248249E+01 -6.14294192E+01  2.91761213E+01  8.51391159E+02  1.10428631E-02  7.04832429E-01
  9.25650687E+02 -2.72990498E+03 -2.59393256E+03 -1.25432853E+02 -1.80425429E+03 -1.59035610E+03  3.11498442E+01 -9.18918106E+01 -6.07419665E+01  2.97080827E+01  8.82776877E+02  1.12442050E-02  8.12017237E-01
  9.46782440E+02 -2.75432448E+03 -2.61759235E+03 -1.26124013E+02 -1.80754204E+03 -1.59154204E+03  3.15594147E+01 -9.18108159E+01 -6.02514012E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.54416264E-01
  8.75483965E+02 -2.66545175E+03 -2.53338626E+03 -1.22101935E+02 -1.78996779E+03 -1.58116779E+03  3.01891023E+01 -9.19121295E+01 -6.17230272E+01  2.90000000E+01  8.41000000E+02  1.09762030E-02  8.11911744E-01
  9.47189560E+02 -2.75497069E+03 -2.61765159E+03 -1.26552666E+02 -1.80778113E+03 -1.59178113E+03  3.15729853E+01 -9.18323564E+01 -6.02593710E+01  3.00000000E+01  9.00000000E+02  1.13546927E-02  7.35971974E-01
  9.07175520E+02 -2.70376164E+03 -2.56946359E+03 -1.23916913E+02 -1.79658612E+03 -1.58473361E+03  3.08202671E+01 -9.18906128E+01 -6.10703457E+01  2.94239600E+01  8.66013640E+02  1.11366675E-02  7.21754326E-01
