#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  4.06000000E-01  1.78488271E-01  1.47893228E-04  4.06000000E-01  1.78703038E-01  1.83480800E-04  4.06000000E-01  1.79427371E-01  2.13582395E-04  4.06000000E-01  1.80156103E-01  1.56362898E-04
  4.20500000E-01  1.73269812E-01  1.48864162E-04  4.20500000E-01  1.73500571E-01  1.83862197E-04  4.20500000E-01  1.74215565E-01  2.12189155E-04  4.20500000E-01  1.74930147E-01  1.54503467E-04
  4.35000000E-01  1.67973258E-01  1.47125746E-04  4.35000000E-01  1.68210818E-01  1.81458422E-04  4.35000000E-01  1.68938836E-01  2.12351401E-04  4.35000000E-01  1.69636253E-01  1.51921458E-04
  4.49500000E-01  1.62640241E-01  1.44521363E-04  4.49500000E-01  1.62856238E-01  1.79195833E-04  4.49500000E-01  1.63570442E-01  2.09808524E-04  4.49500000E-01  1.64265434E-01  1.51957130E-04
  4.64000000E-01  1.57252722E-01  1.45018419E-04  4.64000000E-01  1.57474207E-01  1.76647974E-04  4.64000000E-01  1.58166796E-01  2.07948152E-04  4.64000000E-01  1.58864815E-01  1.47609418E-04
  4.78500000E-01  1.51813895E-01  1.42678513E-04  4.78500000E-01  1.52043197E-01  1.76391305E-04  4.78500000E-01  1.52729967E-01  2.05331431E-04  4.78500000E-01  1.53424789E-01  1.48082010E-04
  4.93000000E-01  1.46355710E-01  1.39929863E-04  4.93000000E-01  1.46581170E-01  1.72126180E-04  4.93000000E-01  1.47271124E-01  1.99756246E-04  4.93000000E-01  1.47949973E-01  1.44814628E-04
  5.07500000E-01  1.40888124E-01  1.37686079E-04  5.07500000E-01  1.41092631E-01  1.67671788E-04  5.07500000E-01  1.41767418E-01  1.95806078E-04  5.07500000E-01  1.42439481E-01  1.41655186E-04
  5.22000000E-01  1.35403379E-01  1.36588277E-04  5.22000000E-01  1.35612407E-01  1.63817474E-04  5.22000000E-01  1.36263143E-01  1.93184296E-04  5.22000000E-01  1.36928856E-01  1.40889605E-04
  5.36500000E-01  1.29930644E-01  1.33695197E-04  5.36500000E-01  1.30128269E-01  1.61271737E-04  5.36500000E-01  1.30774287E-01  1.89820220E-04  5.36500000E-01  1.31428239E-01  1.38283153E-04
  5.51000000E-01  1.24486804E-01  1.30189265E-04  5.51000000E-01  1.24676574E-01  1.57531146E-04  5.51000000E-01  1.25295572E-01  1.84813791E-04  5.51000000E-01  1.25931626E-01  1.33321111E-04
  5.65500000E-01  1.19029316E-01  1.26837057E-04  5.65500000E-01  1.19239143E-01  1.54163348E-04  5.65500000E-01  1.19851647E-01  1.80672924E-04  5.65500000E-01  1.20479452E-01  1.29749840E-04
  5.80000000E-01  1.13648093E-01  1.24974293E-04  5.80000000E-01  1.13844544E-01  1.50645522E-04  5.80000000E-01  1.14440016E-01  1.76291767E-04  5.80000000E-01  1.15043095E-01  1.27687701E-04
  5.94500000E-01  1.08295018E-01  1.20076328E-04  5.94500000E-01  1.08497939E-01  1.46815364E-04  5.94500000E-01  1.09077754E-01  1.71120621E-04  5.94500000E-01  1.09665239E-01  1.24643480E-04
  6.09000000E-01  1.03032293E-01  1.16391384E-04  6.09000000E-01  1.03212103E-01  1.42599565E-04  6.09000000E-01  1.03778504E-01  1.67725402E-04  6.09000000E-01  1.04341110E-01  1.20014086E-04
  6.23500000E-01  9.78161052E-02  1.12300544E-04  6.23500000E-01  9.79946131E-02  1.37033769E-04  6.23500000E-01  9.85451016E-02  1.62074671E-04  6.23500000E-01  9.91011520E-02  1.17300418E-04
  6.38000000E-01  9.26900922E-02  1.09502692E-04  6.38000000E-01  9.28499710E-02  1.32085058E-04  6.38000000E-01  9.33906153E-02  1.56467766E-04  6.38000000E-01  9.39323455E-02  1.13197835E-04
  6.52500000E-01  8.76449542E-02  1.04886256E-04  6.52500000E-01  8.78044807E-02  1.28316214E-04  6.52500000E-01  8.83246477E-02  1.50804954E-04  6.52500000E-01  8.88436578E-02  1.10487534E-04
  6.67000000E-01  8.27080688E-02  1.01251105E-04  6.67000000E-01  8.28669636E-02  1.23144306E-04  6.67000000E-01  8.33655909E-02  1.44479283E-04  6.67000000E-01  8.38612725E-02  1.04886703E-04
  6.81500000E-01  7.78716312E-02  9.73076002E-05  6.81500000E-01  7.80300169E-02  1.18112836E-04  6.81500000E-01  7.85083421E-02  1.39699442E-04  6.81500000E-01  7.89835065E-02  1.00322057E-04
  6.96000000E-01  7.31598482E-02  9.37204054E-05  6.96000000E-01  7.33197109E-02  1.13809132E-04  6.96000000E-01  7.37738242E-02  1.32853629E-04  6.96000000E-01  7.42280695E-02  9.61078325E-05
  7.10500000E-01  6.85810565E-02  8.92881468E-05  7.10500000E-01  6.87356534E-02  1.08285400E-04  7.10500000E-01  6.91630783E-02  1.27216573E-04  7.10500000E-01  6.95979622E-02  9.19294078E-05
  7.25000000E-01  6.41315886E-02  8.55475988E-05  7.25000000E-01  6.42701220E-02  1.02783075E-04  7.25000000E-01  6.46879585E-02  1.20302047E-04  7.25000000E-01  6.51073652E-02  8.78314877E-05
  7.39500000E-01  5.98264192E-02  8.07091210E-05  7.39500000E-01  5.99595784E-02  9.78621077E-05  7.39500000E-01  6.03520315E-02  1.14885709E-04  7.39500000E-01  6.07518173E-02  8.28761668E-05
  7.54000000E-01  5.56661538E-02  7.62314824E-05  7.54000000E-01  5.57940853E-02  9.20132790E-05  7.54000000E-01  5.61660653E-02  1.09152957E-04  7.54000000E-01  5.65366257E-02  7.87757275E-05
  7.68500000E-01  5.16518707E-02  7.15795546E-05  7.68500000E-01  5.17699734E-02  8.77111081E-05  7.68500000E-01  5.21262656E-02  1.02516196E-04  7.68500000E-01  5.24811507E-02  7.47653676E-05
  7.83000000E-01  4.78034738E-02  6.87692957E-05  7.83000000E-01  4.79128840E-02  8.21751623E-05  7.83000000E-01  4.82465599E-02  9.65111260E-05  7.83000000E-01  4.85810264E-02  7.13211851E-05
  7.97500000E-01  4.41126351E-02  6.38794524E-05  7.97500000E-01  4.42161771E-02  7.68567376E-05  7.97500000E-01  4.45310760E-02  9.02817996E-05  7.97500000E-01  4.48484997E-02  6.53049218E-05
  8.12000000E-01  4.05833243E-02  5.96809217E-05  8.12000000E-01  4.06814859E-02  7.17112204E-05  8.12000000E-01  4.09791895E-02  8.43747691E-05  8.12000000E-01  4.12714759E-02  6.17182251E-05
  8.26500000E-01  3.72263962E-02  5.58392875E-05  8.26500000E-01  3.73214470E-02  6.71915389E-05  8.26500000E-01  3.75912485E-02  7.92732660E-05  8.26500000E-01  3.78664382E-02  5.69418807E-05
  8.41000000E-01  3.40370914E-02  5.18079381E-05  8.41000000E-01  3.41303219E-02  6.24136836E-05  8.41000000E-01  3.43776402E-02  7.33107054E-05  8.41000000E-01  3.46375942E-02  5.38693920E-05
