# PIMCID: 1e8b4baa-a2a6-46f4-b0b8-955cec5b317f
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  5.11992119E+02 -6.62803784E+02 -1.50811664E+02  2.64492950E+01  1.93551983E+01 -2.70135056E+01 -7.65830733E+00  2.46195777E+01  6.09899307E+02  2.55890775E-02
  5.13467809E+02 -6.85996357E+02 -1.72528548E+02  8.53605886E+00  1.91738315E+01 -2.73654253E+01 -8.19159385E+00  2.51478621E+01  6.35585655E+02  2.61381653E-02
  4.80885758E+02 -6.44689567E+02 -1.63803810E+02  9.26771146E+00  1.84991924E+01 -2.69186817E+01 -8.41948927E+00  2.40377113E+01  5.81626725E+02  2.49842976E-02
  4.80401067E+02 -6.76790441E+02 -1.96389374E+02 -1.88287706E+01  1.81225082E+01 -2.75137839E+01 -9.39127572E+00  2.46611950E+01  6.12475786E+02  2.56323336E-02
  4.64866921E+02 -6.83016127E+02 -2.18149206E+02 -3.89543527E+01  1.73579196E+01 -2.75298139E+01 -1.01718943E+01  2.48881741E+01  6.22604078E+02  2.58682509E-02
  4.97727465E+02 -6.50139019E+02 -1.52411554E+02  2.27756140E+01  1.89018537E+01 -2.68146229E+01 -7.91276921E+00  2.43315511E+01  5.96023960E+02  2.52897086E-02
  4.72294626E+02 -6.46631991E+02 -1.74337365E+02 -1.24638144E+00  1.79356664E+01 -2.70151884E+01 -9.07952194E+00  2.40404144E+01  5.82016811E+02  2.49871072E-02
  4.67081524E+02 -6.41437940E+02 -1.74356416E+02 -1.19149143E+00  1.77774645E+01 -2.67820896E+01 -9.00462510E+00  2.40506839E+01  5.82001294E+02  2.49977811E-02
  5.18354155E+02 -6.81847075E+02 -1.63492920E+02  1.57137147E+01  1.94675767E+01 -2.74702377E+01 -8.00266098E+00  2.48898103E+01  6.23531914E+02  2.58699517E-02
  4.89586279E+02 -6.80392061E+02 -1.90805782E+02 -1.17236231E+01  1.83863065E+01 -2.74397350E+01 -9.05342847E+00  2.48725220E+01  6.22160776E+02  2.58519826E-02
  5.06950020E+02 -6.92289573E+02 -1.85339553E+02 -3.56470398E+00  1.88104254E+01 -2.75036622E+01 -8.69323682E+00  2.52465068E+01  6.40903733E+02  2.62406946E-02
  4.72330455E+02 -6.40208547E+02 -1.67878092E+02  5.29845179E+00  1.79413965E+01 -2.67250763E+01 -8.78367978E+00  2.40522978E+01  5.82555754E+02  2.49994585E-02
  4.82867458E+02 -6.52592472E+02 -1.69725013E+02  5.20878122E+00  1.83598103E+01 -2.69611673E+01 -8.60135692E+00  2.42963604E+01  5.93955171E+02  2.52531321E-02
  5.25486461E+02 -6.49749011E+02 -1.24262550E+02  5.01473095E+01  2.02268666E+01 -2.69203117E+01 -6.69344504E+00  2.42235915E+01  5.90350810E+02  2.51774977E-02
  4.58327744E+02 -6.42519628E+02 -1.84191885E+02 -1.15474932E+01  1.74424265E+01 -2.69034344E+01 -9.46100789E+00  2.39783877E+01  5.78961975E+02  2.49226379E-02
  4.83522641E+02 -6.54551771E+02 -1.71029129E+02  4.30207654E+00  1.83527877E+01 -2.69772703E+01 -8.62448263E+00  2.43515564E+01  5.96903041E+02  2.53105017E-02
  4.79449002E+02 -6.65981175E+02 -1.86532173E+02 -1.02349417E+01  1.80923133E+01 -2.72971887E+01 -9.20487539E+00  2.44857265E+01  6.03236393E+02  2.54499553E-02
  4.89314059E+02 -6.46123720E+02 -1.56809661E+02  1.63606063E+01  1.86897832E+01 -2.69721868E+01 -8.28240359E+00  2.40514261E+01  5.82477835E+02  2.49985525E-02
  5.00576265E+02 -6.55686841E+02 -1.55110576E+02  2.02617879E+01  1.90482029E+01 -2.70230229E+01 -7.97482005E+00  2.43572727E+01  5.96602406E+02  2.53164431E-02
  4.66278067E+02 -6.58383694E+02 -1.92105627E+02 -1.72497268E+01  1.76857527E+01 -2.72148839E+01 -9.52913124E+00  2.42855417E+01  5.93361243E+02  2.52418874E-02
  5.17980713E+02 -6.70127428E+02 -1.52146715E+02  2.57346757E+01  1.96764813E+01 -2.72110908E+01 -7.53460951E+00  2.47057487E+01  6.13581652E+02  2.56786418E-02
  4.83267354E+02 -6.63022882E+02 -1.79755528E+02 -3.24523780E+00  1.83573200E+01 -2.71266547E+01 -8.76933475E+00  2.45153180E+01  6.04509594E+02  2.54807121E-02
  4.95852160E+02 -6.40310357E+02 -1.44458197E+02  2.90631004E+01  1.89301451E+01 -2.66708476E+01 -7.74070250E+00  2.41001802E+01  5.84789802E+02  2.50492265E-02
  4.81804176E+02 -6.39768519E+02 -1.57964343E+02  1.49925375E+01  1.84138801E+01 -2.67444956E+01 -8.33061550E+00  2.40217889E+01  5.80642290E+02  2.49677482E-02
  4.74695116E+02 -6.45764193E+02 -1.71069077E+02  2.37715777E+00  1.81683690E+01 -2.69059204E+01 -8.73755143E+00  2.40897548E+01  5.84075499E+02  2.50383906E-02
  4.81690040E+02 -6.49271795E+02 -1.67581755E+02  6.53114793E+00  1.83896530E+01 -2.69543467E+01 -8.56469369E+00  2.41823477E+01  5.88382384E+02  2.51346297E-02
  4.81165823E+02 -6.51498537E+02 -1.70332714E+02  4.22302645E+00  1.83268221E+01 -2.69721917E+01 -8.64536963E+00  2.42438529E+01  5.91537303E+02  2.51985569E-02
  4.88760113E+02 -6.39118718E+02 -1.50358605E+02  2.24116724E+01  1.87579730E+01 -2.67426371E+01 -7.98466413E+00  2.39958719E+01  5.79472847E+02  2.49408106E-02
  4.96086392E+02 -6.76000052E+02 -1.79913660E+02 -9.97022877E-01  1.86021941E+01 -2.72899735E+01 -8.68777933E+00  2.48495329E+01  6.21062093E+02  2.58280881E-02
  4.73571955E+02 -6.42379662E+02 -1.68807707E+02  4.14681129E+00  1.82232750E+01 -2.68424254E+01 -8.61915044E+00  2.40214609E+01  5.80426887E+02  2.49674073E-02
  5.13320707E+02 -6.60722035E+02 -1.47401328E+02  2.94430111E+01  1.94326619E+01 -2.69966566E+01 -7.56399469E+00  2.45617138E+01  6.06875636E+02  2.55289349E-02
  4.19312245E+02 -6.35950219E+02 -2.16637974E+02 -4.61771182E+01  1.57126766E+01 -2.69944960E+01 -1.12818194E+01  2.36751188E+01  5.65244808E+02  2.46074265E-02
  4.71946526E+02 -6.43380724E+02 -1.71434198E+02  1.45570568E+00  1.80004739E+01 -2.68991455E+01 -8.89867157E+00  2.40124866E+01  5.80568336E+02  2.49580796E-02
  4.91211737E+02 -6.88496022E+02 -1.97284285E+02 -1.71904258E+01  1.83530845E+01 -2.76135823E+01 -9.26049775E+00  2.50130360E+01  6.28965935E+02  2.59980299E-02
  4.88247489E+02 -6.37581801E+02 -1.49334311E+02  2.29756853E+01  1.87466947E+01 -2.67537079E+01 -8.00701328E+00  2.39319440E+01  5.76663363E+02  2.48743652E-02
  5.16996605E+02 -6.68275615E+02 -1.51279009E+02  2.67194899E+01  1.94118944E+01 -2.71226724E+01 -7.71077804E+00  2.47220138E+01  6.15406351E+02  2.56955474E-02
  4.75168542E+02 -6.35571902E+02 -1.60403360E+02  1.15782706E+01  1.81584086E+01 -2.67241455E+01 -8.56573689E+00  2.38863375E+01  5.74473375E+02  2.48269629E-02
  4.63364275E+02 -6.42702552E+02 -1.79338277E+02 -6.03764977E+00  1.77231670E+01 -2.68035189E+01 -9.08035196E+00  2.40695315E+01  5.82945027E+02  2.50173709E-02
  5.02697729E+02 -6.51593907E+02 -1.48896178E+02  2.60056882E+01  1.91208511E+01 -2.69220397E+01 -7.80118865E+00  2.42919258E+01  5.94209452E+02  2.52485229E-02
  4.52188339E+02 -6.35093651E+02 -1.82905312E+02 -1.12027356E+01  1.72686784E+01 -2.67454310E+01 -9.47675260E+00  2.38475801E+01  5.72370747E+02  2.47866792E-02
  4.85652191E+02 -6.46613091E+02 -1.60960900E+02  1.29039746E+01  1.85133594E+01 -2.68789749E+01 -8.36561549E+00  2.41478993E+01  5.86942170E+02  2.50988247E-02
  4.65961242E+02 -6.45252737E+02 -1.79291494E+02 -5.74167489E+00  1.76277850E+01 -2.68854888E+01 -9.25770378E+00  2.41041416E+01  5.84781664E+02  2.50533439E-02
  4.37660714E+02 -6.45592731E+02 -2.07932016E+02 -3.52874185E+01  1.65751397E+01 -2.70411288E+01 -1.04659891E+01  2.39784164E+01  5.78692082E+02  2.49226677E-02
  4.59790378E+02 -6.47788757E+02 -1.87998379E+02 -1.43151445E+01  1.76100314E+01 -2.69501992E+01 -9.34016781E+00  2.41226715E+01  5.85558014E+02  2.50726035E-02
  4.98619177E+02 -6.53520904E+02 -1.54901727E+02  2.06649828E+01  1.89226852E+01 -2.69061166E+01 -7.98343143E+00  2.43842652E+01  5.98185627E+02  2.53444986E-02
  4.90989792E+02 -6.44922866E+02 -1.53933074E+02  1.88795382E+01  1.88431875E+01 -2.69812103E+01 -8.13802281E+00  2.40017517E+01  5.79813248E+02  2.49469220E-02
  5.04494396E+02 -6.35218678E+02 -1.30724281E+02  4.19303046E+01  1.94099506E+01 -2.65995182E+01 -7.18956757E+00  2.39798036E+01  5.79008946E+02  2.49241095E-02
  4.37855725E+02 -6.54438596E+02 -2.16582871E+02 -4.21907123E+01  1.64024676E+01 -2.71280177E+01 -1.07255501E+01  2.42211331E+01  5.90609586E+02  2.51749424E-02
  4.54544872E+02 -6.37535205E+02 -1.82990333E+02 -1.11048331E+01  1.73748905E+01 -2.68215225E+01 -9.44663196E+00  2.38729861E+01  5.73517500E+02  2.48130857E-02
  4.56267942E+02 -6.46276378E+02 -1.90008437E+02 -1.64211350E+01  1.74224999E+01 -2.69140121E+01 -9.49151216E+00  2.41093474E+01  5.84573686E+02  2.50587547E-02
  4.85781664E+02 -6.69031253E+02 -1.83249589E+02 -5.77095235E+00  1.82736910E+01 -2.72337439E+01 -8.96005286E+00  2.46498107E+01  6.11355318E+02  2.56205010E-02
  4.87597288E+02 -6.38879597E+02 -1.51282309E+02  2.13517495E+01  1.87052787E+01 -2.67570571E+01 -8.05177833E+00  2.39769526E+01  5.78665274E+02  2.49211463E-02
  4.31635267E+02 -6.47118435E+02 -2.15483169E+02 -4.26221279E+01  1.64739157E+01 -2.70535449E+01 -1.05796292E+01  2.40084779E+01  5.79916018E+02  2.49539130E-02
  4.77171597E+02 -6.41605498E+02 -1.64433901E+02  8.67618267E+00  1.81510600E+01 -2.67965047E+01 -8.64544467E+00  2.40430672E+01  5.82118022E+02  2.49898644E-02
  4.54987343E+02 -6.49957029E+02 -1.94969686E+02 -2.11982533E+01  1.72559709E+01 -2.70380720E+01 -9.78210105E+00  2.41349212E+01  5.86362032E+02  2.50853356E-02
  4.82310388E+02 -6.41896360E+02 -1.59585972E+02  1.34784546E+01  1.84957093E+01 -2.68171071E+01 -8.32139784E+00  2.40367260E+01  5.81195125E+02  2.49832735E-02
