#                   T = 2.00                    
#          r [Å]          ρ1d(r)         Δρ1d(r)
  0.00000000E+00  2.39447177E-01  5.82316943E-03
  5.00000000E-01  2.37992956E-01  5.70637150E-03
  1.00000000E+00  2.45105657E-01  5.50990943E-03
  1.50000000E+00  2.53579163E-01  6.18182959E-03
  2.00000000E+00  2.55640127E-01  6.20483751E-03
  2.50000000E+00  2.51871540E-01  5.89122022E-03
  3.00000000E+00  2.45707013E-01  5.44730613E-03
  3.50000000E+00  2.39956058E-01  5.42633402E-03
  4.00000000E+00  2.41327507E-01  6.00617626E-03
  4.50000000E+00  2.49199065E-01  5.94286569E-03
  5.00000000E+00  2.54604335E-01  5.86777756E-03
  5.50000000E+00  2.53714006E-01  5.99551269E-03
  6.00000000E+00  2.50875173E-01  6.39261450E-03
  6.50000000E+00  2.46175847E-01  6.13018816E-03
  7.00000000E+00  2.42153048E-01  5.39936605E-03
  7.50000000E+00  2.43597450E-01  6.33583812E-03
  8.00000000E+00  2.49028375E-01  6.63713721E-03
  8.50000000E+00  2.53308910E-01  5.53860469E-03
  9.00000000E+00  2.54289007E-01  6.04603230E-03
  9.50000000E+00  2.54463683E-01  6.79168951E-03
  1.00000000E+01  2.50732597E-01  6.23148943E-03
  1.05000000E+01  2.44718328E-01  5.74554101E-03
  1.10000000E+01  2.43355199E-01  7.08842549E-03
  1.15000000E+01  2.46549020E-01  7.17255798E-03
  1.20000000E+01  2.47721414E-01  5.80061056E-03
  1.25000000E+01  2.51248201E-01  6.45762227E-03
  1.30000000E+01  2.55959258E-01  7.25804104E-03
  1.35000000E+01  2.54496567E-01  6.33639667E-03
  1.40000000E+01  2.50145563E-01  5.97425285E-03
  1.45000000E+01  2.48788651E-01  8.01084153E-03
  1.50000000E+01  2.46755242E-01  7.63740789E-03
  1.55000000E+01  2.43649668E-01  5.72873631E-03
  1.60000000E+01  2.45784937E-01  6.98881026E-03
  1.65000000E+01  2.51615651E-01  7.32440705E-03
  1.70000000E+01  2.53160962E-01  5.37336115E-03
  1.75000000E+01  2.51667581E-01  5.95106471E-03
  1.80000000E+01  2.49845885E-01  8.22915335E-03
  1.85000000E+01  2.45959926E-01  6.94222712E-03
  1.90000000E+01  2.44084760E-01  4.88950789E-03
  1.95000000E+01  2.48019481E-01  6.62667404E-03
  2.00000000E+01  2.52650534E-01  7.22314245E-03
  2.05000000E+01  2.54746357E-01  5.45699271E-03
  2.10000000E+01  2.52788701E-01  5.61060947E-03
  2.15000000E+01  2.47312701E-01  7.79458929E-03
  2.20000000E+01  2.41569530E-01  6.53666693E-03
  2.25000000E+01  2.41874735E-01  5.40218290E-03
  2.30000000E+01  2.50638768E-01  6.71432812E-03
  2.35000000E+01  2.59578484E-01  6.77540074E-03
  2.40000000E+01  2.59705284E-01  5.57944504E-03
  2.45000000E+01  2.51525412E-01  6.45091155E-03
