#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            g(r)           Δg(r)           r [Å]            g(r)           Δg(r)           r [Å]            g(r)           Δg(r)           r [Å]            g(r)           Δg(r)
  2.50000000E+01  6.85544636E-01  1.68229684E-03  2.50000000E+01  6.88053187E-01  1.04388888E-03  2.50000000E+01  6.97160904E-01  1.05705153E-03  2.50000000E+01  7.18054412E-01  4.92915830E-03
  2.60000000E+01  1.52704359E+00  2.42299769E-03  2.60000000E+01  1.52286900E+00  1.49160220E-03  2.60000000E+01  1.51014814E+00  1.56958493E-03  2.60000000E+01  1.48513549E+00  2.75821880E-03
  2.70000000E+01  9.78240076E-01  6.70805840E-04  2.70000000E+01  9.78144802E-01  5.02585935E-04  2.70000000E+01  9.77607917E-01  5.70346356E-04  2.70000000E+01  9.72954104E-01  3.33258958E-03
  2.80000000E+01  5.03758542E-01  2.34081985E-03  2.80000000E+01  5.08451259E-01  1.49625384E-03  2.80000000E+01  5.21710258E-01  1.44470213E-03  2.80000000E+01  5.49911209E-01  4.83348240E-03
  2.90000000E+01  1.31803177E+00  1.46219917E-03  2.90000000E+01  1.31467256E+00  1.00673462E-03  2.90000000E+01  1.30752921E+00  1.05116906E-03  2.90000000E+01  1.29534718E+00  9.95185385E-04
  3.00000000E+01  1.29579324E+00  1.91228599E-03  3.00000000E+01  1.29294265E+00  1.15446473E-03  3.00000000E+01  1.28306783E+00  1.08198701E-03  3.00000000E+01  1.26026439E+00  5.03665677E-03
  3.10000000E+01  5.08841389E-01  2.46261486E-03  3.10000000E+01  5.13972608E-01  1.56031321E-03  3.10000000E+01  5.27460183E-01  1.50238360E-03  3.10000000E+01  5.54951590E-01  3.34972174E-03
  3.20000000E+01  1.00036470E+00  8.65087252E-04  3.20000000E+01  1.00141913E+00  5.56425792E-04  3.20000000E+01  1.00383975E+00  6.12861367E-04  3.20000000E+01  1.01057266E+00  3.10724744E-03
  3.30000000E+01  1.49353717E+00  3.08959189E-03  3.30000000E+01  1.48602066E+00  1.76154153E-03  3.30000000E+01  1.46949824E+00  1.81232656E-03  3.30000000E+01  1.43489599E+00  5.54247885E-03
  3.40000000E+01  6.90522824E-01  1.75797551E-03  3.40000000E+01  6.95000602E-01  1.09190697E-03  3.40000000E+01  7.03663416E-01  1.13837999E-03  3.40000000E+01  7.20312647E-01  1.14588896E-03
